"Project ID","Project Name","Project Manager","Status","Order Name","Customer","Customer Contact Name","End Customer","PO Value","Est. Cost","Est. GM%","Rev. Cost","Rev. GM %","Act. Cost","Act. GM %","# Del.","# Del. Completed","Del Hit Ratio","Invoiced Amt","Receipts","BOM Del (Amt)","BOM Pending (Amt)","BOM (M) - Open Positions","Vendor Invoices","Vendor Payment","# Delayed Tasks","% Tasks on Time","Requirement Volatility","# Change Requests","# Pending Issues","# Client Reported Issues","# Pending HP Issues","Cust. Type","Del. Node","Business Model","Delivery Model","LOB/PF","Industry of Customer","ESD","EED","RSD","RED","ASD","AED","EE","RE","AE","Avg. Actual Weekly Effort","Est. # Res","Rev. # Res","Act. # Res","EMD Amount","PG Amt","# Total Risks","# Open Risks","Total REI","Planned Value","Earned Value","BAC","ETC","EAC","SV %","SPI","CV %","CPI","TCPI","Type","Program ID","Portfolio ID","Domain"
"72","bob fi","VIMAL","Suspended","","Bank of Baroda (FI Deptt.)","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","1","","","","","BFSI","","14 Dec 2015","30 Dec 2019","14 Dec 2015","","14 Dec 2015","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"9","Printing & Stationery - GJU","VAIBHAV","Suspended","","Ricoh India LImited","","Guru Jhambeshwar University","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","BFSI","","19 Feb 2016","27 Feb 2021","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Z-Others","","",""
"60","SB-Digital Maketing(FDS PMO)","VAIBHAV","Suspended","","Paramita","","SB-Godrej","","0","0","0","0","0","0","1","0","","","","","","","","","","","","","47","0","0","IT Consultancy Services","","","","BFSI","","09 Jun 2016","30 Dec 2016","","30 Dec 2016","","","20","","0","","","","","","","","","","","","","","","","","","","","BOLT","","131",""
"61","SB-Digital Maketing","VAIBHAV","Suspended","","UPTRON POWERTRONICS LTD.","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","BFSI","","31 May 2016","30 Aug 2016","","06 Jul 2016","","","0","","0","","","","","","","","","","","","","","","","","","","","Z-Others","","133",""
"64","SB-digital marketing(host4dcloud)","VAIBHAV","Open","","JAIPUR DEVELOPMENT AUTHORITY","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","zOthers","","","","BFSI","","30 Jun 2016","30 Jul 2019","","29 Jul 2016","","","0","","0","","","","","","","","","","","","","","","","","","","","BOT","","133",""
"1","Bertelsmann Project","Sunil","Open","","Munich Govt","","Munich Govt","","1,095,937,909.5","0","1,095,937,909.5","0","1,095,937,909.5","0","1,124","1,109","","","","","","","","","","","","","47","0","3","","","","","Education","","23 Mar 2015","16 Nov 2020","23 Mar 2015","20 Aug 2020","23 Mar 2015","","0","","51","","","","","","","","","","","","","","","","","","","","BOOT","121","131",""
"32","Smart Lighting","SUMIT","Suspended","","Sterlite","","Sterlite","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Security & Surveillance","","08 Jun 2016","17 Jul 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"65","ERMS MP EPIC/ MPSEDC","SHRIKANT","Suspended","","Company - Patna","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","19 Feb 2016","27 Feb 2017","","","","","0","","0","","","","","","","","","","","","","","","","","","","","BOOT","","",""
"26","DOP","SANGHAMITRA","Suspended","","AIG BANDA","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","19 Feb 2016","27 Feb 2017","","","","","0","","0","","","","","","","","","","","","","","","","","","","","BOT","","",""
"71","e-mitra","RAHUL","Suspended","","Rajcomp Info Services Ltd.","","Rajcomp Info Services Ltd.","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","1","","","","","Smart Governance","","14 May 2015","13 May 2019","","19 May 2017","31 May 2015","","0","","0","","","","","","","","","","","","","","","","","","","","Z-Others","128","132",""
